정확도,신체 치수 조합,분류 기법
0.6563,"배꼽수준허리둘레, 엉덩이둘레, 허리둘레(윗허리), 다리가쪽길이",Naïve Bayes Classification
0.654639,"키, 몸무게, 허리둘레 (윗허리), 머리둘레",PCA - Logistic Regression
0.6546,허리둘레(윗허리),LDA - Logistic Regression
0.6546,다리가쪽길이,LDA - Logistic Regression
0.6512,"화장, 허리둘레(윗허리), 다리가쪽길이",Naïve Bayes Classification
0.6512,"배꼽수준허리둘레, 허리둘레(윗허리), 다리가쪽길이",Naïve Bayes Classification
0.649485,"머리둘레, 허리둘레 (윗허리)",PCA - Logistic Regression
0.6481,"엉덩이둘레, 다리가쪽길이",Naïve Bayes Classification
0.6481,"팔길이, 허리둘레(윗허리), 다리가쪽길이",Naïve Bayes Classification
0.6471,다리가쪽길이,Naïve Bayes Classification
0.6443,"허리둘레(윗허리), 다리가쪽길이",LDA - Logistic Regression
0.6392,"엉덩이둘레, 팔길이, 다리가쪽길이",LDA - Naïve Bayes Classification
0.6378,"허리둘레(윗허리), 다리가쪽길이",Naïve Bayes Classification
0.6378,"엉덩이둘레, 허리둘레(윗허리), 다리가쪽길이",Naïve Bayes Classification
0.634,다리가쪽길이,LDA - Naïve Bayes Classification
0.634,"엉덩이둘레, 팔길이, 허리둘레(윗허리), 다리가쪽길이",LDA - Naïve Bayes Classification
0.6237,"엉덩이둘레, 다리가쪽길이",LDA - Naïve Bayes Classification
0.6134,"엉덩이둘레, 허리둘레(윗허리)",LDA - Naïve Bayes Classification
0.6082,"허리둘레(윗허리), 다리가쪽길이",LDA - Naïve Bayes Classification
0.6031,"엉덩이둘레, 허리둘레(윗허리), 다리가쪽길이",LDA - Naïve Bayes Classification
0.5464,"팔길이, 허리둘레(윗허리)",LDA - Naïve Bayes Classification
0.5361,"팔길이, 다리가쪽길이",LDA - Naïve Bayes Classification
0.5206,"팔길이, 허리둘레(윗허리), 다리가쪽길이",LDA - Naïve Bayes Classification
